;SOC_MWh
117;494.1838003048497
118;494.1343819248192
119;494.08496848662674
120;494.03555998977805
121;493.98615643377906
122;493.9367578181357
123;493.8873641423539
124;493.83797540593963
125;493.78859160839903
126;493.7392127492382
127;493.6898388279633
128;493.6404698440805
129;493.5911057970961
130;493.5417466865164
131;493.49239251184775
132;493.4430432725966
133;493.39369896826935
134;493.34435959837253
135;493.2950251624127
136;493.24569565989646
137;493.19637109033044
138;493.1470514532214
139;493.0977367480761
140;493.0484269744013
141;492.99912213170387
142;492.9498222194907
143;492.90052723726876
144;492.851237184545
145;492.8019520608266
146;492.7526718656205
147;492.703396598434
148;492.65412625877417
149;492.6048608461483
150;492.5556003600637
151;492.5063448000277
152;492.4570941655477
153;492.40784845613115
154;492.35860767128554
155;492.3093718105184
156;492.2601408733374
157;492.21091485925007
158;492.1616937677641
159;492.11247759838733
160;492.0632663506275
161;492.01406002399244
162;491.96485861799005
163;491.91566213212826
164;491.86647056591505
165;491.8172839188585
166;491.7681021904666
167;491.7189253802476
168;491.66975348770956
169;491.6205865123608
170;491.57142445370954
171;491.52226731126416
172;491.47311508453305
173;491.42396777302463
174;491.3748253762473
175;491.3256878937097
176;491.2765553249203
177;491.22742766938785
178;491.1783049266209
179;491.12918709612825
180;491.0800741774186
181;491.0309661700009
182;490.9818630733839
183;490.9327648870766
184;490.8836716105879
185;490.83458324342683
186;490.7854997851025
187;490.736421235124
188;490.6873475930005
189;490.63827885824116
190;490.5892150303553
191;490.5401561088523
192;490.4911020932414
193;490.4420529830321
194;490.3930087777338
195;490.34396947685605
196;490.2949350799084
197;490.2459055864004
198;490.19688099584175
199;490.1478613077422
200;490.0988465216114
201;490.04983663695924
202;490.00083165329556
203;489.95183157013025
204;489.90283638697326
205;489.85384610333455
206;489.8048607187242
207;489.7558802326524
208;489.7069046446291
209;489.65793395416466
210;489.6089681607692
211;489.56000726395314
212;489.51105126322676
213;489.46210015810044
214;489.41315394808464
215;489.3642126326898
216;489.3152762114266
217;489.2663446838054
218;489.217418049337
219;489.1684963075321
220;489.11957945790135
221;489.07066749995556
222;489.0217604332056
223;488.9728582571623
