timestep;heat_demand_MW;electricity_purchase_MW;grid_co2_intensity_kgMWh;storage_SOC_MWh
205;10.764248751773788;1.803964932112574;384.4325;-0.0
206;10.54179804694515;2.0110627025210364;387.025;1.3852918554021074
207;10.407439313555262;2.0110627025210364;380.6;2.8980859783390684
208;10.763665702265532;1.8038672196859258;365.7325;2.8977961697412344
209;10.541070857598559;2.0110627025210364;355.74;4.28348907540563
210;10.409461286845895;1.7445066122760342;360.3275;4.283060726498089
211;10.76308117714915;1.803769259964239;357.68;4.28263242042544
212;10.540365772027432;2.0110627025210364;346.5325;5.668856673757337
213;10.411442543397738;2.0110627025210364;339.385;7.1774193718621095
214;10.762495571855862;2.0110627025210364;337.3375;8.352330836661855
215;10.53968193657075;2.0110627025210364;331.15250000000003;9.738797763835976
216;10.413384382157865;2.0110627025210364;301.79;11.24510872100962
217;10.761909250242615;2.0110627025210364;282.48;12.420170422407034
218;10.539018539989177;2.0110627025210364;267.61;13.806860792375074
219;10.415288044903868;2.0110627025210364;256.8575;15.310956463637163
220;10.761322547126648;2.0110627025210364;275.5075;16.486168948220485
221;10.53837481087045;2.0110627025210364;296.4925;17.873064260998735
222;10.417154719452702;2.0110627025210364;321.94;19.374979971092568
223;10.76073577059694;2.0110627025210364;340.2875;20.550343491028368
224;10.537750015223056;2.0110627025210364;345.9825;21.937425942217363
225;10.418985542650889;1.7461027685775918;344.785;21.93523219962314
226;10.76014920412421;1.8032778948313009;338.6625;21.93303867640318
227;10.537143454242573;2.0110627025210364;336.27;23.320559091005094
228;10.420781603163544;2.0110627025210364;336.505;24.818484512090627
229;10.759563108489049;2.0110627025210364;327.115;25.994417710574822
230;10.536554462236174;2.0110627025210364;336.545;27.3820915296794
231;10.42254394407817;2.0110627025210364;349.35249999999996;28.87793657365217
232;10.758977723545435;1.8030815680897425;352.8325;28.875048779994806
233;10.535982404692481;1.7657101040412457;350.6275;28.872161275116806
234;10.42427356533759;0.07110339524300402;355.105;18.342958269515613
235;10.758393269835212;0.1270980349007139;362.0175;7.814808184214977
236;10.535426676484999;0.5215525722920942;371.1675;0.0
237;10.425971426015252;1.747273522700778;376.07;-0.0
238;10.757809950067529;1.802885862615875;377.455;0.0
239;10.534886700198363;1.765526476504487;371.9975;-0.0
240;10.427638446444854;2.0110627025210364;373.48;1.4937434758773882
241;10.757227950475542;2.0110627025210364;369.23;2.6742275485780356
242;10.534361924567822;2.0110627025210364;356.615;4.066316297483747
243;10.429275510215234;2.0110627025210364;343.77;5.5580979311495256
244;10.756647442061828;2.0110627025210364;333.985;6.7387270513976745
245;10.533851823022989;2.0110627025210364;332.695;8.130893946820695
246;10.430883466040589;2.0110627025210364;328.865;9.620741564687453
247;10.756068581742374;2.0110627025210364;331.5075;10.801514337875728
248;10.533355892327895;2.0110627025210364;328.2375;12.193746088730439
249;10.43246312951509;2.0110627025210364;322.9975;13.681686741082231
250;10.75549151339839;2.0110627025210364;307.6825;14.862601634679653
