Datum,S1_Lastfolge,S2_Kosten,S2_Kosten_TES_SOC_MWh,S2_Kosten_TES_charge_MW,S2_Kosten_TES_discharge_MW,S3_Kosten_Emissionen,S3_Kosten_Emissionen_TES_SOC_MWh,S3_Kosten_Emissionen_TES_charge_MW,S3_Kosten_Emissionen_TES_discharge_MW
2025-06-10 22:00:00,3.033996219245008,1.7796206855330963,36.370962441778374,0.0,0.0,1.7796206855330963,28.15722283195729,0.0,0.0
2025-06-10 23:00:00,3.011303021427208,2.0110627025210364,37.75474279928873,1.4604394250047719,0.0,2.0110627025210364,29.54182456342863,1.4604394250047719,0.0
2025-06-11 00:00:00,3.0292073120206835,2.0110627025210364,39.07885301254003,1.3977744079276082,0.0,2.0110627025210364,30.866756068503516,1.3977744079276082,0.0
2025-06-11 01:00:00,3.0339893311215222,2.0110627025210364,40.38693060125972,1.3810373410746735,0.0,2.0110627025210364,32.17565486691761,1.3810373410746735,0.0
2025-06-11 02:00:00,3.011307519762138,2.0110627025210364,41.77029440499049,1.4604236808325162,0.0,2.0110627025210364,33.55983979822181,1.4604236808325162,0.0
2025-06-11 03:00:00,3.0292103040715257,2.0110627025210364,43.093993114512166,1.3977639357496603,0.0,2.0110627025210364,34.88435955320416,1.3977639357496603,0.0
2025-06-11 04:00:00,3.033982451304015,2.0110627025210364,44.40169206461486,1.3810614204359482,0.0,2.0110627025210364,36.192879466662994,1.3810614204359482,0.0
2025-06-11 05:00:00,3.0113120146569776,2.0110627025210364,45.78463944667395,1.4604079487005777,0.0,2.0110627025210364,37.57664772998188,1.4604079487005777,0.0
2025-06-11 06:00:00,3.0292132903257207,1.7768152109618998,45.78006098272928,0.0,0.0,1.7768152109618998,37.57289006520888,0.0,0.0
2025-06-11 07:00:00,3.033975579776865,0.1037229938133961,35.249167187157326,0.0,10.0,1.6210867031245604,36.57344945383608,0.0,0.9458991562479618
2025-06-11 08:00:00,3.0113165061159086,2.0110627025210364,36.63301488760321,1.4603922285943192,0.0,2.0110627025210364,37.957164726055304,1.4603922285943192,0.0
2025-06-11 09:00:00,3.029216270796872,2.0110627025210364,37.957207485714854,1.3977430522109486,0.0,2.0110627025210364,39.2812249091831,1.3977430522109486,0.0
2025-06-11 10:00:00,3.0339687165244853,2.0110627025210364,39.26546578252237,1.3811094921643008,0.0,2.0110627025210364,40.58935080424827,1.3811094921643008,0.0
2025-06-11 11:00:00,3.0113209941431043,2.0110627025210364,40.648896930418296,1.4603765204991355,0.0,2.0110627025210364,41.97264956364202,1.4603765204991355,0.0
2025-06-11 12:00:00,3.0292192454985387,3.4285714285714284,41.972678049442614,1.3977326407551143,0.0,2.0110627025210364,43.29629830740302,1.3977326407551143,0.0
