Rohr,m_dot_max,m_dot_mean,v_max,v_mean,v<0.3_h,dP_max_bar,dP_mean_bar,dT_VL_mean,dT_VL_max,Q_loss_VL_MW,Q_loss_RL_MW,Q_loss_total_MWh,Q_consumer_max,Q_consumer_mean
j2_to_j3,55.74136008918617,55.74136008918617,0.0032128612015787,0.0032128612015787,744,0.0001452623415607,6.268417213635611e-05,0.0,0.0,0.003375,0.0011249999999999997,3.348,13.999999999999998,13.999999999999998
j3_to_V8,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.992169255690156e-05,5.500201645216654e-06,0.0,0.0,0.0032400000000000003,0.0010799999999999998,3.21408,2.0,2.0
j3_to_V9,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.5771339940880406e-05,4.450340943153238e-06,0.0,0.0,0.0025650000000000004,0.0008550000000000001,2.54448,2.0,2.0
j3_to_j4,39.815257206561554,39.81525720656156,0.0022949008582705,0.0022949008582704997,744,8.300705232042317e-05,2.447487351507357e-05,0.0,0.0,0.0027000000000000006,0.0008999999999999999,2.6784000000000003,10.0,10.0
j4_to_V10,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.909162203369733e-05,3.7297389234894363e-06,0.0,0.0,0.0031050000000000006,0.0010349999999999997,3.0801600000000002,2.0,2.0
j4_to_V11,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.4941269417676174e-05,3.0636086411850484e-06,0.0,0.0,0.0024300000000000003,0.0008100000000000001,2.4105600000000003,2.0,2.0
j4_to_V12,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,2.1581833603310022e-05,4.282659872096532e-06,0.0,0.0,0.00351,0.0011700000000000002,3.48192,2.0,2.0
j4_to_V13,15.926102882624622,15.926102882624622,0.0009179603433082,0.0009179603433082,744,4.316366720662005e-05,9.170940457984211e-06,0.0,0.0,0.00351,0.0011700000000000002,3.48192,4.0,4.0
V13_to_V14,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.245105784806348e-05,2.5878669252785112e-06,0.0,0.0,0.0020249999999999995,0.0006750000000000001,2.0087999999999995,2.0,2.0
j5_to_V15,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.1620987324859248e-05,4.53336112119351e-06,0.0,0.0,0.0018899999999999998,0.0006300000000000001,1.8748799999999999,2.0,2.0
j5_to_V16,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.5771339940880406e-05,5.349387124156869e-06,0.0,0.0,0.0025650000000000004,0.0008550000000000001,2.54448,2.0,2.0
j5_to_V17,87.59356585443543,87.5935658544354,0.0050487818881951,0.005048781888195101,744,0.0001460924120839,6.456259390383004e-05,0.0,0.0,0.0021599999999999996,0.0007199999999999999,2.1427199999999997,22.0,22.0
V17_to_V18,79.63051441312311,79.63051441312312,0.004589801716541,0.004589801716540999,744,0.0001660141046408,5.491368035758035e-05,0.0,0.0,0.0027000000000000006,0.0008999999999999999,2.6784000000000003,20.0,20.0
V18_to_j6,71.66746297181079,71.66746297181079,0.0041308215448869,0.0041308215448869,744,0.0001195301553414,3.192759161630709e-05,0.0,0.0,0.0021599999999999996,0.0007199999999999999,2.1427199999999997,17.999999999999996,17.999999999999996
j6_to_V19,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.4941269417676174e-05,3.00053955731321e-06,0.0,0.0,0.0024300000000000003,0.0008100000000000001,2.4105600000000003,2.0,2.0
j6_to_V20,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.0790916801655011e-05,2.1192787267007473e-06,0.0,0.0,0.001755,0.0005850000000000001,1.74096,2.0,2.0
j6_to_V21,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.1620987324859243e-05,2.481679851710782e-06,0.0,0.0,0.0018899999999999998,0.0006300000000000001,1.8748799999999999,2.0,2.0
j6_to_j7,47.77830864787386,47.77830864787387,0.0027538810299246,0.0027538810299246002,744,9.96084627845078e-05,2.1544884701941432e-05,0.0,0.0,0.0027000000000000006,0.0008999999999999999,2.6784000000000003,12.0,12.0
j7_to_V22,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.2036022586461362e-05,3.5321312111401304e-06,0.0,0.0,0.0019575000000000005,0.0006525000000000002,1.9418400000000005,2.0,2.0
j7_to_V23,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.411119889447194e-05,3.911562957654919e-06,0.0,0.0,0.0022949999999999997,0.000765,2.27664,2.0,2.0
j7_to_V24,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.245105784806348e-05,3.200345827688711e-06,0.0,0.0,0.0020249999999999995,0.0006750000000000001,2.0087999999999995,2.0,2.0
j7_to_V25,15.926102882624622,15.926102882624622,0.0009179603433082,0.0009179603433082,744,1.855451757750636e-05,5.784471922820391e-06,0.0,0.0,0.0025650000000000004,0.0008550000000000001,2.54448,4.0,4.0
V25_to_V26,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,6.835874897248573e-06,2.072485535439547e-06,0.0,0.0,0.0018899999999999998,0.0006300000000000001,1.8748799999999999,2.0,2.0
j7_to_V27,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.3696163632869826e-05,3.7793213301898515e-06,0.0,0.0,0.0022275,0.0007424999999999999,2.2096799999999996,2.0,2.0
