;plant_to_j1_m_dot;plant_to_j1_velocity;plant_to_j1_delta_p;j1_to_north_m_dot;j1_to_north_velocity;j1_to_north_delta_p;j1_to_south_m_dot;j1_to_south_velocity;j1_to_south_delta_p;plant_to_industrial_m_dot;plant_to_industrial_velocity;plant_to_industrial_delta_p
42;285.0122080880807;1.6427741696244063;1.426945748456689;122.14808918060598;1.4368287197881102;3.4643948320216955;162.86411890747468;1.9157716263841476;3.48710741374991;122.14808918060598;1.4368287197881102;1.7469042185873682
43;270.36039098507496;1.558322956687449;1.3191356893882327;115.86873899360354;1.3629646851493722;3.183756402543208;154.4916519914714;1.8172862468658297;3.406283546060103;115.86873899360354;1.3629646851493722;1.657099921154252
44;245.1203775636954;1.4128427249185638;1.8036290105343367;105.05159038444087;1.235722499928773;2.7003134495774055;140.0687871792545;1.647629999905031;4.507194528615587;105.05159038444087;1.235722499928773;1.5023981762051952
45;254.18246287153954;1.4650754337085625;1.870309064308803;108.93534123065979;1.2814070848762937;1.4605703854972942;145.24712164087975;1.7085427798350585;4.673825233591346;108.93534123065979;1.2814070848762937;1.5579417445304484
46;257.27856221978277;1.482920957133696;1.8930905835749312;110.26224095133546;1.2970154144026498;4.9278701155115865;147.01632126844729;1.7293538858701998;4.730755310891125;110.26224095133546;1.2970154144026498;1.576918436963708
47;275.40757556401;1.5874142875859443;1.3562735586203543;118.03181809886144;1.3884089978885812;3.2804293232848822;157.37575746514858;1.851211997184775;1.51923173021243;118.03181809886144;1.3884089978885812;1.688035255791588
48;266.88507273732046;1.5382916636879889;1.2935638259846665;114.37931688742303;1.3454446038087364;5.111871595017996;152.5057558498974;1.793926138411649;3.38711263638646;114.37931688742303;1.3454446038087364;1.6357989104057586
49;241.72192838792722;1.393254495487325;1.778622760196585;103.59511216625451;1.218589937744016;2.6352201282067473;138.1268162216727;1.6247865836586883;4.444704940099756;103.59511216625451;1.218589937744016;2.5186661327231943
50;266.65174354269936;1.5369467838440196;3.3355015308955323;114.27931866115688;1.344268324061825;3.112721595979578;152.3724248815425;1.7923577654157667;3.385825521769779;114.27931866115688;1.344268324061825;1.6343687830538907
51;258.18105255116683;1.48812279678358;1.8997312299364848;110.64902252192861;1.3015651283821397;1.4835468788550223;147.5320300292382;1.735420171176187;4.747350012336074;110.64902252192861;1.3015651283821397;1.5824500041120242
52;254.6951504980177;1.4680305000740148;1.8740814894561888;109.15506449915044;1.2839916910268352;2.8837070327767296;145.54008599886726;1.7119889213691135;3.24708215572098;109.15506449915044;1.2839916910268352;1.5610841228289791
53;282.3149782250729;1.6272276792540028;1.4070991650051097;120.99213352503124;1.423231206344609;3.41273254690201;161.32284470004166;1.8976416084594787;4.037664622927059;120.99213352503124;1.423231206344609;1.7303722873490688
