comparison,config,gap_cost_pct,gap_cost_eur,gap_cost_eur_per_mwh,gap_co2_t
L1->L2,synth_n30_L5p0km_hi0p1_s6h,16.2332,23559.35,2.4121,80.78
L1->L2,synth_n30_L5p0km_hi0p4_s2h,14.794,32333.37,3.3098,99.21
L1->L2,synth_n30_L5p0km_hi0p8_s2h,14.8712,32523.39,3.3303,99.6
L1->L2,synth_n30_L5p0km_hi0p8_s6h,16.1836,23485.37,2.4046,81.11
L2->L3,synth_n05_L15p0km_hi0p1_s12h,0.2427,393.82,0.0403,1.79
L2->L3,synth_n05_L15p0km_hi0p1_s6h,0.2258,451.5,0.0462,1.7
L2->L3,synth_n05_L15p0km_hi0p4_s12h,0.2357,382.28,0.0391,1.98
L2->L3,synth_n05_L15p0km_hi0p4_s6h,0.2357,471.35,0.0483,1.6
L2->L3,synth_n05_L15p0km_hi0p8_s2h,0.1564,451.0,0.0462,2.31
L2->L3,synth_n05_L15p0km_hi0p8_s6h,0.2397,479.18,0.0491,1.68
L2->L3,synth_n05_L1p0km_hi0p4_s12h,0.3189,299.97,0.0307,0.99
L2->L3,synth_n05_L1p0km_hi0p4_s2h,0.2257,435.34,0.0446,1.91
L2->L3,synth_n05_L1p0km_hi0p4_s6h,0.1334,168.57,0.0173,1.0
L2->L3,synth_n05_L5p0km_hi0p1_s12h,0.0984,110.59,0.0113,0.8
L2->L3,synth_n05_L5p0km_hi0p1_s2h,-0.1887,-414.04,-0.0424,1.98
L2->L3,synth_n05_L5p0km_hi0p1_s6h,0.1023,149.17,0.0153,0.99
L2->L3,synth_n05_L5p0km_hi0p4_s12h,0.1482,166.5,0.017,1.22
L2->L3,synth_n05_L5p0km_hi0p8_s2h,0.1178,258.52,0.0265,0.56
L2->L3,synth_n15_L15p0km_hi0p1_s2h,0.1306,373.92,0.0383,1.71
L2->L3,synth_n15_L15p0km_hi0p1_s6h,0.1321,262.06,0.0268,0.88
L2->L3,synth_n15_L15p0km_hi0p4_s2h,0.7639,2202.97,0.2255,7.62
L2->L3,synth_n15_L15p0km_hi0p8_s12h,0.1565,251.72,0.0258,1.37
L2->L3,synth_n15_L1p0km_hi0p1_s6h,0.1885,238.11,0.0244,0.5
L2->L3,synth_n15_L1p0km_hi0p8_s2h,0.2738,529.27,0.0542,2.19
L2->L3,synth_n15_L1p0km_hi0p8_s6h,0.264,333.39,0.0341,0.87
L2->L3,synth_n15_L5p0km_hi0p1_s12h,0.4137,464.76,0.0476,2.04
L2->L3,synth_n15_L5p0km_hi0p1_s6h,0.0431,62.63,0.0064,0.25
L2->L3,synth_n15_L5p0km_hi0p4_s2h,0.178,389.51,0.0399,1.54
L2->L3,synth_n15_L5p0km_hi0p8_s2h,0.1802,393.28,0.0403,1.01
L2->L3,synth_n30_L15p0km_hi0p1_s12h,0.3155,507.89,0.052,1.2
L2->L3,synth_n30_L15p0km_hi0p1_s2h,0.1288,369.26,0.0378,0.69
L2->L3,synth_n30_L15p0km_hi0p1_s6h,0.1684,334.11,0.0342,1.36
L2->L3,synth_n30_L15p0km_hi0p4_s12h,0.2279,366.62,0.0375,1.2
L2->L3,synth_n30_L15p0km_hi0p4_s2h,0.1618,464.62,0.0476,0.69
L2->L3,synth_n30_L15p0km_hi0p8_s6h,0.2047,404.72,0.0414,1.27
L2->L3,synth_n30_L5p0km_hi0p1_s2h,-0.1404,-306.6,-0.0314,-1.12
L2->L3,synth_n30_L5p0km_hi0p1_s6h,-0.0326,-47.28,-0.0048,0.17
L2->L3,synth_n30_L5p0km_hi0p4_s2h,-0.0019,-4.25,-0.0004,-0.19
L2->L3,synth_n30_L5p0km_hi0p8_s2h,-0.1521,-332.07,-0.034,-0.7
L2->L3,synth_n30_L5p0km_hi0p8_s6h,0.0486,70.51,0.0072,0.22
L1cp->L2,synth_n05_L15p0km_hi0p1_s12h,44.6177,72220.95,7.3936,228.12
L1cp->L2,synth_n05_L15p0km_hi0p1_s6h,38.8809,77569.84,7.9404,248.74
L1cp->L2,synth_n05_L15p0km_hi0p4_s12h,44.6072,72190.32,7.3912,227.84
L1cp->L2,synth_n05_L15p0km_hi0p4_s6h,38.8808,77569.43,7.9404,248.74
L1cp->L2,synth_n05_L15p0km_hi0p8_s2h,35.0471,100885.69,10.3271,297.66
L1cp->L2,synth_n05_L15p0km_hi0p8_s6h,38.8639,77514.49,7.9356,248.54
L1cp->L2,synth_n05_L1p0km_hi0p4_s12h,4.4029,4128.79,0.4227,14.57
