Run dir,Kind,Status,MIP gap
MM-S4-HK2__hp_j_3__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,38.31 %
MM-S4-HK2__hp_j_3__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_9__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
SB-S2-HK0-DIAGJAN-BASE,TEST/DIAG,optimal,—
SB-S2-HK0-DIAGJAN-CYC10X,TEST/DIAG,optimal,—
SB-S2-HK0-DIAGJAN-CYCHI,TEST/DIAG,optimal,—
SB-S2-HK0-DIAGJAN-CYCHI-ISO,TEST/DIAG,optimal,—
SB-S2-HK0-DIAGJAN-CYCLO,TEST/DIAG,optimal,—
SB-S6-HK0-COLOC-ATTRIB-TEST,TEST/DIAG,maxTimeLimit,96.95 %
SB-S6-HK0__hp_j_hkw__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_hkw__tes_j_man,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_hkw__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_hkw__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_hkw__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_man__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_man__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_man__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_man__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_man__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_ost__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_ost__tes_j_man,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_ost__tes_j_ost,F3 enumeration sub-pair,optimal,—
